Results
Func;                 bisect;                  brent;                 ridder;                    A42;                    ITP;                  modAB;               modAB_CS
 f01;                    1.0;                    1.0;                    1.0;                    1.0;                    1.0;                    1.0;                    1.0; 
 f02;    0.39942229171097443;     0.3994222917109682;     0.3994222917109682;    0.39942229171096816;    0.39942229171096816;     0.3994222917109682;    0.39942229171096816; 
 f03;     0.8041330975036696;     0.8041330975036644;     0.8041330975036642;     0.8041330975036644;     0.8041330975036644;     0.8041330975036644;     0.8041330975036642; 
 f04;    -0.9999999999999964;                   -1.0;                   -1.0;                   -1.0;                   -1.0;                   -1.0;                   -1.0;
 f05;     2.0945514815423323;     2.0945514815423265;      2.094551481542327;     2.0945514815423265;     2.0945514815423265;      2.094551481542327;     2.0945514815423265;
 f06;    0.13825715505682723;    0.13825715505682407;    0.13825715505682407;     0.1382571550568241;    0.13825715505682407;    0.13825715505682407;    0.13825715505682407;
 f07;     0.0693140886870296;    0.06931408868702346;    0.06931408868702346;    0.06931408868702346;    0.06931408868702346;    0.06931408868702346;    0.06931408868702346;
 f08;    0.03465735902084788;    0.03465735902085385;    0.03465735902085385;    0.03465735902085385;   0.034657359020853845;    0.03465735902085385;    0.03465735902085385;
 f09;     0.1096117967977861;    0.10961179679779243;    0.10961179679779243;    0.10961179679779243;    0.10961179679779243;    0.10961179679779244;    0.10961179679779243;
 f10;    0.05247860343680344;   0.052478603436810184;   0.052478603436810184;   0.052478603436810184;   0.052478603436810184;   0.052478603436810184;   0.052478603436810184;
 f11;    0.02562374761998143;    0.02562374761998821;    0.02562374761998821;    0.02562374761998821;    0.02562374761998821;    0.02562374761998821;    0.02562374761998821;
 f12;    0.34595481584823773;      0.345954815848242;    0.34595481584824206;    0.34595481584824206;      0.345954815848242;    0.34595481584824206;    0.34595481584824206;
 f13;    0.24512233375330794;    0.24512233375330722;    0.24512233375330722;    0.24512233375330722;     0.2451223337533072;    0.24512233375330722;    0.24512233375330725;
 f14;     0.1649209572764434;    0.16492095727644596;    0.16492095727644093;    0.16492095727644093;    0.16492095727644093;    0.16492095727644093;      0.164920957276441;
 f15;   0.003617108178907813;   0.003617108178904064;   0.003617108178904064;   0.003617108178904064;  0.0036171081789040643;   0.003617108178904064;   0.003617108178904064;
 f16; 0.00015147133478166097;  0.0001514713347750746; 0.00015147133478389136;  0.0001514713347838914; 0.00015147133478389136; 0.00015147133478389136;  0.0001514713347838914;
 f17;   7.668595124243893e-6;   7.668595122185337e-6;   7.668595122185337e-6;   7.668595122185337e-6;   7.668595122185337e-6;   7.668595122185337e-6;   7.668595122185339e-6;
 f18;     0.5161535187579389;     0.5161535187579243;     0.5161535187579335;     0.5161535187579336;     0.5161535187579336;     0.5161535187579336;     0.5161535187579336;
 f19;     0.5395222269084101;     0.5395222269084159;      0.539522226908409;     0.5395222269084159;     0.5395222269084159;     0.5395222269084159;     0.5395222269084159;
 f20;     0.5527046666784869;     0.5527046666784878;     0.5527046666784872;     0.5527046666784878;     0.5527046666784878;     0.5527046666784878;     0.5527046666784878;
 f21;    0.40999201798913276;    0.40999201798913715;    0.40999201798913715;    0.40999201798913715;     0.4099920179891372;    0.40999201798913715;     0.4099920179891371;
 f22;     0.4525091455776433;     0.4525091455776412;     0.4525091455776412;     0.4525091455776412;    0.45250914557764127;     0.4525091455776412;     0.4525091455776412;
 f23;     0.4756268485960575;     0.4756268485960624;     0.4756268485960624;     0.4756268485960624;    0.47562684859606247;     0.4756268485960624;     0.4756268485960624;
 f24;     2.9999999999999982;      2.999999999999999;      2.999999999999999;     3.0000000000000004;      3.000000000000003;     2.9999999999999982;     2.9999999999999982;
 f25;     3.9999999999999982;      3.999999999999996;      4.000000000000005;      4.000000000001839;                    4.0;     3.9999999999999982;     3.9999999999999982;
 f26;      2.474576787369834;     2.4745767873698337;     2.4745767873698306;     2.4745767873698283;     2.4745767873698323;      2.474576787369834;      2.474576787369834;
