Results
Func;                 bisect;                  brent;                 ridder;                    A42;                    ITP;                  modAB
 f01;     0.9999999999999982;                    1.0;                    1.0;                    1.0;     0.9999999999999999;                    1.0; 
 f02;     0.3994222917109664;    0.39942229171096816;    0.39942229171096627;    0.39942229171096816;     0.3994222917109682;    0.39942229171096816; 
 f03;     0.8041330975036654;     0.8041330975036644;     0.8041330975036551;     0.8041330975036644;       0.80413309750366;     0.8041330975036642; 
 f04;    -1.0000000000000002;                   -1.0;                   -1.0;                   -1.0;                   -1.0;                   -1.0;
 f05;      2.094551481542325;      2.094551481542327;     2.0945514815423265;     2.0945514815423265;     2.0945514815423265;     2.0945514815423265;
 f06;    0.13825715505682332;    0.13825715505682404;    0.13825715505682407;    0.13825715505682407;    0.13825715505682407;    0.13825715505682412;
 f07;    0.06931408868702611;    0.06931408868702348;    0.06931408868701472;    0.06931408868702348;    0.06931408868702349;    0.06931408868702348;
 f08;    0.03465735902085539;    0.03465735902085384;    0.03465735902085385;   0.034657359020853845;    0.03465735902085378;    0.03465735902085385;
 f09;    0.10961179679779004;      0.109611796797793;    0.10961179679779243;    0.10961179679779243;    0.10961179679779243;    0.10961179679779243;
 f10;    0.05247860343680966;    0.05247860343681028;   0.052478603436810184;   0.052478603436810184;    0.05247860343681014;   0.052478603436810184;
 f11;   0.025623747619988993;    0.02562374761998821;    0.02562374761998821;    0.02562374761998822;    0.02562374761998821;    0.02562374761998821;
 f12;     0.3459548158482421;      0.345954815848242;      0.345954815848242;      0.345954815848242;    0.34595481584824206;      0.345954815848242;
 f13;    0.24512233375331216;    0.24512233375330725;     0.2451223337533072;    0.24512233375330725;    0.24512233375330725;    0.24512233375330728;
 f14;     0.1649209572764402;    0.16492095727644096;    0.16492095727644096;     0.1649209572764409;    0.16492095727644002;     0.1649209572764422;
 f15;  0.0036171081789020745;  0.0036171081789040643;   0.003617108178904063;   0.003617108178904063;  0.0036171081789040634;  0.0036171081789040647;
 f16; 0.00015147133478502633; 0.00015147133478389134;  0.0001514713347838914; 0.00015147133478389212;  0.0001514713347838872;  0.0001514713347838914;
 f17;   7.668595124681044e-6;   7.668595122185337e-6;   7.668595122185337e-6;   7.668595122185335e-6;   7.668595122185337e-6;   7.668595122185335e-6;
 f18;     0.5161535187579257;     0.5161535187579336;     0.5161535187579223;     0.5161535187579336;     0.5161535187579336;     0.5161535187579335;
 f19;     0.5395222269084319;     0.5395222269084163;     0.5395222269084159;     0.5395222269084159;     0.5395222269084158;     0.5395222269083866;
 f20;     0.5527046666872479;      0.552704666678488;     0.5527046666784865;     0.5527046666784878;     0.5527046666816632;     0.5527046666784878;
 f21;    0.40999201798913726;    0.40999201798913715;    0.40999201798913715;    0.40999201798913715;    0.40999201798914264;     0.4099920179891371;
 f22;     0.4525091455776413;    0.45250914557764116;    0.45250914557764127;     0.4525091455776412;    0.45250914557764216;     0.4525091455776412;
 f23;     0.4756268485960545;     0.4756268485960624;     0.4756268485960624;     0.4756268485960624;     0.4756268485960623;     0.4756268485960624;
 f24;      2.999993896484374;      3.000007285238641;     2.9999957664168058;     2.9999999999999982;      3.000003157284494;      3.000001525878906;
 f25;      3.999609374999999;     3.9986872228521193;      4.001107560269884;      3.999999999999999;       4.00072557961356;            4.000390625;
 f26;      2.474578857421875;      2.474557731970802;     2.4745833859513118;     2.4745767873698266;     2.4745628280063743;      2.474578857421875;
 f27;          1.88916015625;     1.8887379408153333;     1.8890992300973282;     1.8886332092927203;      1.888619997384177;          1.88916015625;
 f28;       7.14300537109375;      7.142985040372764;      7.142989795027044;      7.143000000000001;      7.142992414586563;       7.14300537109375;
 f29;     2.9984374999999996;       3.00006660685497;     2.9998382550016585;      2.999783548995127;       3.00000028456571;     3.0003906249999996;
 f30;      4.267168304542125;      4.267168304542125;      4.267168304542116;      4.267168304542125;      4.267168304542125;      4.267168304542124;
 f31;     0.3183098861837921;    0.31830988618379064;     0.3183098861837907;     0.3183098861837907;    0.31830988618378997;     0.3183098861837907;
 f32;     1.3258176636680328;     1.3258176636680323;     1.3258176636680323;     1.3258176636680326;     1.3258176636680299;     1.3258176636680326;
 f33;     0.8654740331016114;     0.8654740331016144;     0.8654740331016144;     0.8654740331016145;     0.8654740331016145;     0.8654740331016144;
 f34;     0.7390851332151583;     0.7390851332151607;     0.7390851332151609;     0.7390851332151607;     0.7390851332151607;     0.7390851332151607;
 f35;     0.6566666666666664;     0.6566666666666666;     0.6566666666666667;     0.6566666666666666;     0.6566666666666664;     0.6566666666666666;
 f36;     0.6666666666666661;     0.6666666666666681;     0.6666666666666636;     0.6666666666666649;     0.6666666666666636;      0.666666666666643;
 f37;     0.7777777777794714;     0.7777777777777778;     0.7777777777777778;      0.777777777777781;     0.7777777777777779;     0.7777777777777777;
 f38;     0.3333333333333342;     0.3333333333333287;    0.33333333333333487;     0.3333333333333347;     0.3333333333333375;     0.3333333333333286;
 f39;    0.33333333333332704;    0.33333333333333137;       0.33333333333332;     0.3333333333333308;    0.33333333333333004;     0.3333333333333286;
 f40;                    0.0;                    0.0;     0.6666666668400827;                    0.0;     0.6666666666666732;      0.666666666666643;
 f41;    0.13825715505682565;    0.13825715505682412;     0.1382571550568241;    0.13825715505682407;    0.13825715505682404;    0.13825715505682412;
 f42;     1.0000000000000002;     2.9999999999999996;                    1.0;                    3.0;     0.9999999999999988;     0.9999999999999999;
 f43;                    0.0;                    0.0;   1.567701110322143e-5;                    0.0;  -1.004630015997195e-5;      3.814697265625e-6;
 f44;                    0.0;                    0.0; -0.0007272034980517316;                    0.0; -0.00013889531904000317;           0.0009765625;
 f45;                    0.0;                    0.0;  -0.004887817232201902;                    0.0;   0.008107441889279993;            -0.00390625;
 f46;    0.10162439229355093;    0.10162439229354954;    0.10162439229354954;    0.10162439229354953;       0.10162439229355;    0.10162439229354954;
 f47;   0.007732523200614988;   0.007732523200612796;   0.007732523200612798;   0.007732523200615833;   0.007732523200614998;   0.007732523200612799;
 f48;   0.001276304945736256;   0.001276304945735565;  0.0012763049457355645;  0.0012763049457355643;  0.0012763049457355648;   0.001276304945735564;
 f49;     -0.682327803828017;    -0.6823278038280194;     -0.682327803828018;    -0.6823278038280193;    -0.6823278038280193;    -0.6823278038280194;
 f50;     -2.103803402735537;    -2.1038034027355366;    -2.1038034027355366;    -2.1038034027355366;    -2.1038034027355366;    -2.1038034027355366;
 f51;     0.9999999999999982;     1.0000000000000002;                    1.0;                    1.0;     0.9999999999999998;                    1.0;
 f52;     1.0000408355647252;     1.0000408355647268;      1.000040835564727;     1.0000408355647268;      1.000040835564727;      1.000040835564727;
 f53;     1.6968123868097535;     1.6968123868097515;     1.6968123868097513;     1.6968123868097515;     1.6968123868097518;     1.6968123868097515;
 f54;     0.5235987755982975;     0.5235987755982989;     0.5235987755982989;     0.5235987755982989;     0.5235987755982987;     0.5235987755982988;
 f55;     0.9999999999999858;     1.0000000000000002;                    1.0;                    1.0;     0.9999999999999903;                    1.0;
 f56;                    2.0;                    2.0;                    2.0;                    2.0;                    2.0;     1.9999999999999996;
 f57;     3.0000000000000013;                    3.0;     3.0000000000000004;                    3.0;                    3.0;                    3.0;
 f58;     1.5574077246549223;     1.5574077246549023;     1.5574077246549023;     1.5574077246549023;     1.5574077246548788;     1.5574077246549058;
 f59;      1.256431208626164;     1.2564312086261689;     1.2564312086261737;     1.2564312086261706;     1.2564312086261697;       1.25643120862617;
 f60;     0.3544631043750286;     0.3544631043750253;     0.3544631043750253;     0.3544631043750264;     0.3544631043750251;     0.3544631043750254;
 f61;     1.4044916482153411;     1.4044916482153411;     1.4044916482153411;     1.4044916482153411;     1.4044916482153411;     1.4044916482153411;
 f62;      1.895494267033973;      1.895494267033981;      1.895494267033981;      1.895494267033981;     1.8954942670339783;     1.8954942670339807;
 f63;      0.567143290409784;     0.5671432904097838;     0.5671432904097838;     0.5671432904097838;     0.5671432904097838;     0.5671432904097834;
 f64;    0.09999999999999451;    0.10000000000000975;                    0.1;                    0.1;    0.09999999999999999;                    0.1;
 f65;    -0.5235987755982905;    -0.5235987755982988;    -0.5235987755983067;    -0.5235987755982988;    -0.5235987755982989;    -0.5235987755982989;
 f66;    -0.8439145686492642;    -0.8439145686492662;    -0.8439145686492755;    -0.8439145686492662;    -0.8439145686492663;    -0.8439145686492663;
 f67;     0.8350790427235601;      0.835079042723559;      0.835079042723559;     0.8350790427235574;     0.8350790427235599;     0.8350790427235589;
 f68;     0.8735685268302352;     0.8735685268302319;     0.8735685268302319;     0.8735685268302318;     0.8735685268302303;     0.8735685268302318;
 f69;    0.11111111111110814;     0.1111111111111105;     0.1111111111111111;    0.11111111111111115;    0.11111111111111106;    0.11111111111111112;
 f70;   -0.03702012770786196;  -0.037020127707860916;   -0.03702012770786098;   -0.03702012770786091;   -0.03702012770786001;  -0.037020127707860916;
 f71;    -0.6666666666666693;    -0.6666666666666669;    -0.6666666666666655;    -0.6666666666666661;    -0.6666666666666701;    -0.6666666666666666;
 f72;   9.999805570259923e-7;   9.999848674207994e-7;    1.0000000000015e-18;   9.999999968579437e-7;  1.0000197749468002e-6;    1.00000761449337e-6;
 f73;   9.999805570259923e-7;   1.000009771267778e-6;    1.0000000000015e-18;   9.999999969445393e-7;   1.000019809102173e-6;    1.00000761449337e-6;
 f74;    0.33335405588150024;     0.3333232317109948;    0.33332122765334193;    0.33333333333333615;    0.33331662749827906;      0.333343505859375;
 f75;    0.33333309553563595;    0.33333302278122356;    0.33333313348090704;    0.33333335215754367;    0.33333298825899194;    0.33333349227905273;
 f76;    -0.9999990000000046;    -0.9999990000000056;    -0.9999990000000031;    -0.9999990000000016;    -0.9999990000000056;    -0.9999989999999954;
 f77;    0.04761904761904335;    0.04761904761904335;   0.047619047742831114;    0.04761904761904086;       0.04761904761904;     0.0476190476190439;
 f78; 1.118751109680031e-154;                    0.0;   5.79310385639639e-15;  6.999999999999999e-15;  7.105427357601002e-15;  7.105427357601002e-15;
 f79; 3.7192471324942744e-15;  6.353168833408131e-15;  5.932142164631805e-15;  6.999999999999999e-15;  6.158037043254202e-15; 2.9131708668474793e-19;
 f80; -1.0000066802406948e-8;  -0.031277388857325755;   -0.05617109223196099;  -0.010423710047469207;  -0.054267309742181864;    -0.0414560401586836;
 f81;    -0.9999999999999929;                   -1.0;    -0.9999999999999949;                   -1.0;      -0.99999999999999;                   -1.0;
