Results
Func;                 bisect;                 brentq;                 brenth;                 ridder;                 chandr;                  modAB
 f01;                      1;                      1;                      1;                      1;                      1;                      1; 
 f02;      0.399422291710962;      0.399422291710968;      0.399422291710967;      0.399422291710973;      0.399422291710968;      0.399422291710968; 
 f03;      0.804133097503669;      0.804133097503664;      0.804133097503664;       0.80413309750367;      0.804133097503664;      0.804133097503664; 
 f04;     -0.999999999999996;                     -1;                     -1;                     -1;                     -1;                     -1;
 f05;       2.09455148154233;       2.09455148154233;       2.09455148154233;       2.09455148154233;       2.09455148154233;       2.09455148154233;
 f06;      0.138257155056827;      0.138257155056824;      0.138257155056824;      0.138257155056824;      0.138257155056823;      0.138257155056824;
 f07;     0.0693140886870296;     0.0693140886870235;     0.0693140886870235;     0.0693140886870235;     0.0693140886870228;     0.0693140886870235;
 f08;     0.0346573590208479;     0.0346573590208539;     0.0346573590208539;     0.0346573590208538;     0.0346573590208535;     0.0346573590208539;
 f09;      0.109611796797786;      0.109611796797792;      0.109611796797792;      0.109611796797796;      0.109611796797792;      0.109611796797792;
 f10;     0.0524786034368034;     0.0524786034368102;     0.0524786034368102;     0.0524786034368102;     0.0524786034368102;     0.0524786034368102; 
 f11;     0.0256237476199814;     0.0256237476199884;     0.0256237476199883;     0.0256237476199882;     0.0256237476199884;     0.0256237476199882;
 f12;      0.345954815848238;      0.345954815848242;      0.345954815848242;      0.345954815848247;      0.345954815848242;      0.345954815848242; 
 f13;      0.245122333753308;      0.245122333753307;      0.245122333753307;      0.245122333753302;      0.245122333753307;      0.245122333753307;
 f14;      0.164920957276443;      0.164920957276441;      0.164920957276441;      0.164920957276436;      0.164920957276441;      0.164920957276441;
 f15;    0.00361710817890781;    0.00361710817890406;    0.00361710817890406;    0.00361710817889906;    0.00361710817890472;    0.00361710817890406; 
 f16;   0.000151471334781661;   0.000151471334783892;   0.000151471334783892;   0.000151471334788891;   0.000151471334783806;   0.000151471334783891;
 f17;   7.66859512424389e-06;   7.66859512218534e-06;   7.66859512218534e-06;   7.66859512718534e-06;   7.66859512218534e-06;   7.66859512218534e-06;
 f18;      0.516153518757939;      0.516153518757934;      0.516153518757933;      0.516153518757939;      0.516153518757933;      0.516153518757934;
 f19;       0.53952222690841;      0.539522226908413;      0.539522226908416;      0.539522226908411;      0.539522226908416;      0.539522226908416; 
 f20;      0.552704666678487;      0.552704666678488;      0.552704666678488;      0.552704666678492;      0.552704666678488;      0.552704666678488;
 f21;      0.409992017989133;      0.409992017989137;      0.409992017989137;      0.409992017989137;      0.409992017989137;      0.409992017989137; 
 f22;      0.452509145577643;      0.452509145577641;      0.452509145577641;      0.452509145577641;      0.452509145577641;      0.452509145577641;
 f23;      0.475626848596058;      0.475626848596062;      0.475626848596062;      0.475626848596068;      0.475626848596062;      0.475626848596062;
 f24;                      3;       2.99999999994985;       2.99999999995591;                      3;                      3;                      3; 
 f25;                      4;       3.99999999999714;       4.00000000000212;                      4;                      4;                      4; 
 f26;       2.47457678736983;       2.47457678732526;       2.47457678733094;       2.47457678736983;       2.47457678736983;       2.47457678736983;
 f27;          1.88916015625;       1.88901627626639;        1.8892233380005;       1.88905736094801;          1.88916015625;         1.888916015625;
 f28;       7.14299999999999;        7.1429999999767;       7.14299999997918;                  7.143;                  7.143;                  7.143; 
 f29;            3.000390625;       2.99980076364321;       2.99983620875946;          3.00054459411;            3.000390625;       2.99943911213135;
 f30;       4.26716830454212;       4.26716830454212;       4.26716830454212;       4.26716830454212;       4.26716830454212;       4.26716830454212;
